created_at,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,id,statuses_count,verified,average_tweets_per_day,account_age_days,tweet_length,tweet_digits_count,tweet_mean_bigram_freq,tweet_entropy,tweet_'bot'_count,tweet_hashtag_count,tweet_url_count,tweet_unique_url_count,tweet_unique_mention_count,tweet_fraction_lowercase_words,tweet_fraction_uppercase_words,tweet_word_count,tweet_sentence_count,tweet_avg_word_length,tweet_avg_word_per_sentence,tweet_repeated_words,tweet_question_count,tweet_exclamation_count,tweet_special_characters,tweet_noun_counts,tweet_adjective_count,tweet_adverb_count,tweet_verb_count,tweet_pronoun_count,tweet_adjective_counts,tweet_adverb_counts,tweet_verb_counts,tweet_pronoun_counts,name_length,name_digits_count,name_mean_bigram_freq,name_entropy,name_contains_'bot',account_type
1257408186,0,0,18012,1234,880,0,87592296,8220,0,2.086,3940,150,0,1.0,4.719259127896292,0,0,0,0,0,0.0,1.0,2,1,3.5,2.0,{},0,0,9,2,0,0,0,0,1,0,1,1,10,0,1.0,3.321928094887362,0,1
1367352342,0,0,7586,21692,564,1,1392282998,8714,1,3.267,2667,129,0,1.0,4.435456168220978,0,0,0,0,0,0.8571428571428571,0.14285714285714285,21,2,4.578947368421052,10.5,{'the': 3},0,0,3,5,0,0,0,0,4,0,2,0,12,0,1.0,3.4182958340544896,0,1
1237924274,0,0,2065,759809,799932,0,26250653,41242,1,9.902,4165,113,4,1.0,4.830363918452514,0,1,0,0,0,0.0,1.0,2,4,3.0,0.5,{},0,0,10,2,0,0,0,0,1,0,1,1,9,0,1.1428571428571428,2.058813890331201,0,1
1333634715,1,0,1035,8,54,0,545820074,1603,0,0.524,3058,19,0,1.0,3.8268748818646365,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,12,0,1.0,3.251629167387823,0,0
1252024825,0,0,2556,1085308,763,1,71339449,7470,1,1.867,4002,110,13,1.0,5.081296195997061,0,0,1,1,0,0.5,0.5,6,2,3.0,3.0,{'the': 2},0,1,12,0,0,0,0,0,1,0,0,0,15,0,1.0,3.5068905956085183,0,1
1431640211,0,0,214,18,318,0,3254291902,258,0,0.134,1923,76,3,1.0,4.647075501302165,0,0,1,1,0,1.0,0.0,8,3,3.125,2.6666666666666665,{},0,0,8,5,0,0,0,0,1,0,2,1,13,3,1.0,3.7004397181410926,0,0
1431861976,1,0,117,5,0,0,3198717378,24,0,0.012,1921,52,3,1.0,4.7483286603655745,0,0,1,1,0,1.0,0.0,5,2,2.6,2.5,{},0,0,7,0,0,0,0,0,0,0,1,1,8,0,1.1666666666666667,2.4056390622295662,0,0
1489447664,0,0,2,76,3,0,841355108696915968,5043,0,4.022,1254,158,0,1.0,4.169136560837057,1,0,0,0,1,0.9565217391304348,0.043478260869565216,23,3,5.304347826086956,7.666666666666667,{'a': 2},0,0,5,8,0,0,0,0,3,1,0,1,13,0,1.0,3.180832987205441,1,0
1245535898,0,0,705,2708,794,1,49057253,2237,0,0.549,4077,152,0,1.0,4.141667463204279,0,0,0,0,0,1.0,0.0,24,2,5.315789473684211,12.0,"{'a': 4, 'to': 2, 'and': 2}",0,0,4,8,0,0,0,0,3,1,3,0,12,0,1.0,3.2516291673878226,0,1
1294961019,1,0,535,253,209,1,237800943,2156,0,0.615,3505,85,0,1.0,4.218840090274318,0,0,0,0,0,0.9285714285714286,0.07142857142857142,14,2,3.6153846153846154,7.0,{'a': 3},0,0,4,5,0,0,0,0,0,0,2,2,10,0,1.0,2.9219280948873623,0,1
1306213258,0,0,4892,68,228,0,304123393,28611,0,8.477,3375,41,0,1.0,3.9668312726996975,0,0,0,0,0,1.0,0.0,4,0,6.0,0.0,{'-': 2},0,0,9,4,0,0,0,0,0,0,0,0,9,0,1.3333333333333333,2.2810361125534233,0,1
