name_length,name_digits_count,name_mean_bigram_freq,name_entropy,name_contains_'bot'
15,0,1.2727272727272727,3.2402239289418513,0
12,0,1.0,3.4182958340544896,0
8,0,1.1666666666666667,2.5,0
13,1,1.0,3.7004397181410926,0
13,0,1.0,3.0269868333592873,0
14,0,1.0,2.610577243331642,0
7,0,1.0,2.5216406363433186,0
10,0,1.2857142857142858,2.2464393446710154,0
13,0,1.0,3.0269868333592873,0
8,0,1.0,2.4056390622295662,0
15,0,1.0,3.373557262275185,0
13,0,1.0,2.8073904508767225,0
12,0,1.0,3.2516291673878226,0
10,0,1.0,2.9219280948873623,0
7,1,1.0,2.807354922057604,0
7,0,1.0,2.5216406363433186,0
12,0,1.0,3.2516291673878226,0
11,0,1.0,2.7321588913645707,0
10,0,1.0,3.321928094887362,0
11,0,1.1111111111111112,2.9139770731827523,0
13,0,1.0,2.9312089489103235,0
10,0,1.0,3.321928094887362,0
8,2,1.0,2.75,0
10,4,1.0,2.9219280948873623,0
15,0,1.0769230769230769,3.1395722619867223,0
8,0,1.0,2.25,0
11,0,1.0,3.095795255000934,0
13,0,1.0,3.238901256602631,0
15,1,1.0,3.189898095464287,0
3,0,1.0,1.584962500721156,0
14,0,1.0,3.6644977792004623,0
13,0,1.0,3.546593564294939,0
6,0,1.0,2.251629167387823,0
10,3,1.0,3.1219280948873624,0
13,0,1.0909090909090908,3.085055102756477,0
15,3,1.0769230769230769,3.0565647621309533,0
12,0,1.0,3.2516291673878226,1
13,1,1.0,3.5465935642949384,0
11,2,1.1111111111111112,2.845350936622437,0
10,0,1.0,2.7219280948873625,0
12,0,1.0,3.418295834054489,0
9,3,1.0,3.169925001442312,0
15,3,1.0769230769230769,3.139572261986723,0
8,0,1.0,2.1556390622295662,0
7,0,1.0,2.5216406363433186,0
15,0,1.5555555555555556,2.599581230646064,1
4,0,1.0,2.0,0
12,0,1.1,2.625814583693911,0
7,0,1.0,2.807354922057604,0
9,0,1.0,3.169925001442312,0
10,0,1.0,2.8464393446710154,0
13,0,1.0909090909090908,2.9312089489103235,0
11,0,1.1111111111111112,3.095795255000934,0
8,3,1.1666666666666667,2.1556390622295662,0
5,1,1.0,2.321928094887362,0
8,1,1.0,2.75,0
4,0,1.0,2.0,0
14,0,1.0,3.378783493486176,0
11,0,1.0,3.095795255000934,0
5,0,1.0,1.5219280948873621,0
13,0,1.3333333333333333,2.7192945256669794,0
6,0,1.0,2.584962500721156,0
9,0,1.0,3.169925001442312,0
15,0,1.0769230769230769,3.056564762130954,0
10,3,1.0,3.121928094887362,0
11,0,1.1111111111111112,2.481714572986073,0
9,0,1.0,2.94770277922009,0
12,0,1.1,3.084962500721156,0
10,0,1.0,2.921928094887362,0
11,2,1.0,2.845350936622437,0
7,4,1.0,2.521640636343318,0
11,0,1.0,3.277613436819116,0
15,0,1.0769230769230769,3.189898095464287,0
8,0,1.0,2.75,0
15,0,1.0,3.5068905956085183,0
9,0,1.0,2.94770277922009,0
8,2,1.0,2.75,0
9,0,1.0,3.169925001442312,0
15,0,1.0769230769230769,3.1068905956085184,0
15,0,1.0,3.3735572622751846,0
14,2,1.0,3.3248629576173565,0
10,0,1.0,3.321928094887362,0
15,0,1.0769230769230769,3.3232314287976203,0
6,4,1.0,2.584962500721156,0
11,0,1.0,3.0957952550009344,0
9,5,1.0,2.94770277922009,0
9,0,1.3333333333333333,2.5032583347756456,0
10,0,1.0,2.6464393446710153,0
10,0,1.125,2.9219280948873623,0
10,0,1.0,2.9219280948873623,0
14,0,1.0,3.182005814760214,0
10,0,1.0,3.121928094887362,0
13,0,1.0,3.3927474104487847,0
14,0,1.0,3.182005814760214,0
10,2,1.0,3.121928094887362,0
15,0,1.0,3.5068905956085183,0
6,0,1.0,2.251629167387823,0
12,1,1.0,3.418295834054489,0
9,3,1.0,2.9477027792200903,0
9,0,1.0,3.169925001442312,0
13,0,1.0909090909090908,3.0269868333592873,0
8,2,1.0,3.0,0
8,0,1.0,2.75,0
13,0,1.0,3.3927474104487847,0
15,0,1.0769230769230769,3.32323142879762,0
14,0,1.0833333333333333,3.2359263506290334,0
12,0,1.1,3.0849625007211556,0
11,0,1.0,2.9139770731827523,0
7,0,1.0,2.1280852788913944,0
10,0,1.125,2.5219280948873624,0
7,0,1.0,2.2359263506290326,0
11,0,1.0,3.0957952550009344,0
15,0,1.0,3.2729055953200556,0
10,0,1.0,3.1219280948873624,0
14,0,1.0,3.09306920777189,0
9,0,1.0,2.94770277922009,0
12,9,1.0,3.0220552088742005,0
8,0,1.0,2.75,0
13,0,1.2,3.0850551027564768,0
9,3,1.0,3.169925001442312,0
10,0,1.0,3.121928094887362,0
12,0,1.1,3.2516291673878226,0
10,0,1.0,3.121928094887362,0
6,0,1.0,2.584962500721156,0
11,0,1.0,2.845350936622437,0
11,0,1.0,3.0957952550009344,0
10,0,1.0,3.121928094887362,0
12,0,1.0,3.2516291673878226,0
12,2,1.0,3.418295834054489,0
8,0,1.0,2.5,0
11,0,1.0,3.095795255000934,0
15,1,1.0,3.32323142879762,0
12,0,1.0,3.2516291673878226,0
6,0,1.0,2.2516291673878226,0
11,0,1.0,3.095795255000934,0
10,0,1.0,3.121928094887362,0
13,0,1.0,3.5465935642949384,0
10,3,1.0,3.121928094887362,0
7,0,1.0,2.521640636343318,0
13,0,1.0,3.085055102756477,0
11,0,1.0,2.59490661824394,0
10,0,1.125,2.6464393446710153,0
8,2,1.0,2.75,0
13,0,1.0,3.0269868333592873,0
13,0,1.2,2.931208948910323,0
13,0,1.0909090909090908,3.0269868333592873,0
15,1,1.0,3.2402239289418517,0
6,2,1.0,1.9182958340544893,0
11,0,1.0,3.277613436819116,0
10,0,1.0,3.1219280948873624,0
11,0,1.1111111111111112,2.663532754804255,0
13,4,1.0,3.5465935642949384,0
10,0,1.0,2.9219280948873623,0
11,0,1.0,3.2776134368191165,0
6,0,1.0,2.584962500721156,0
5,0,1.0,2.321928094887362,0
10,0,1.0,3.121928094887362,0
9,1,1.0,2.725480556997868,0
14,3,1.0,3.521640636343319,0
11,0,1.0,2.663532754804255,0
12,0,1.0,3.2516291673878226,1
15,2,1.0,3.323231428797621,0
13,0,1.0,3.3927474104487847,0
8,1,1.0,2.5,0
12,0,1.0,2.8553885422075336,0
12,2,1.1,3.188721875540867,0
8,0,1.1666666666666667,2.5,0
15,0,1.0,3.3232314287976203,0
14,0,1.0,3.52164063634332,0
15,0,1.0,3.0062389286533895,0
8,2,1.0,2.5,0
9,0,1.0,2.197159723424149,0
8,0,1.0,2.75,0
15,0,1.0769230769230769,3.139572261986723,0
12,0,1.0,3.2516291673878226,0
9,0,1.0,2.94770277922009,0
11,0,1.0,2.9139770731827523,0
10,1,1.2857142857142858,2.721928094887362,0
9,4,1.0,2.725480556997868,0
14,0,1.0833333333333333,3.3248629576173574,0
15,0,1.0,3.3232314287976203,0
7,0,1.0,2.807354922057604,0
14,0,1.0833333333333333,3.378783493486176,0
9,0,1.0,2.6416041678685933,0
