tweet_length,tweet_digits_count,tweet_mean_bigram_freq,tweet_entropy,tweet_'bot'_count,tweet_hashtag_count,tweet_url_count,tweet_unique_url_count,tweet_unique_mention_count,tweet_fraction_lowercase_words,tweet_fraction_uppercase_words,tweet_word_count,tweet_sentence_count,tweet_avg_word_length,tweet_avg_word_per_sentence,tweet_repeated_words,tweet_question_count,tweet_exclamation_count,tweet_special_characters,tweet_noun_counts,tweet_adjective_count,tweet_adverb_count,tweet_verb_count,tweet_pronoun_count,tweet_sentiment_score,tweet_adjective_counts,tweet_adverb_counts,tweet_verb_counts,tweet_pronoun_counts
66,0,1.0,4.401280907633086,0,0,0,0,1,1.0,0.0,1,1,3.0,1.0,{},0,0,3,1,0,0,0,0,Neutral,0,0,0,0
86,0,1.0,4.386005707959427,0,0,0,0,2,1.0,0.0,8,2,5.75,4.0,{},0,0,6,3,0,0,0,0,Neutral,1,1,1,1
54,4,1.0,4.659308623298095,0,0,1,1,0,1.0,0.0,7,3,3.0,2.3333333333333335,{},1,1,10,1,0,0,0,0,Positive,0,1,2,1
125,0,1.0,4.314972010890909,0,0,0,0,2,0.9166666666666666,0.08333333333333333,12,1,6.7272727272727275,12.0,{'the': 2},0,0,5,3,0,0,0,0,Positive,1,0,2,1
26,1,1.0,3.607886950580834,0,0,0,0,0,1.0,0.0,4,1,3.25,4.0,{},0,1,6,2,0,0,0,0,Positive,2,0,0,0
54,0,1.0,4.62950046636408,0,0,1,1,0,1.0,0.0,7,3,3.0,2.3333333333333335,{},1,1,10,1,0,0,0,0,Positive,0,1,2,1
119,1,1.0,4.151423710300783,0,0,0,0,0,1.0,0.0,13,3,4.636363636363637,4.333333333333333,"{'and': 2, 'are': 2}",0,0,3,4,0,0,0,0,Positive,1,0,1,1
13,0,1.0,3.5465935642949384,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,{},0,0,0,1,0,0,0,0,Positive,1,1,0,0
42,0,1.0,3.9453912338938335,0,0,0,0,0,0.8333333333333334,0.16666666666666666,6,1,3.0,6.0,{},0,0,1,1,0,0,0,0,Neutral,1,0,1,1
91,0,1.0,4.5109489776170255,0,0,0,0,0,0.8333333333333334,0.16666666666666666,12,2,3.1666666666666665,6.0,{},0,0,7,2,0,0,0,0,Neutral,0,0,1,3
160,0,1.0,4.780997671114145,0,0,0,0,1,0.6842105263157895,0.3157894736842105,19,5,4.823529411764706,3.8,"{'of': 3, 'the': 2}",0,0,10,13,0,0,0,0,Negative,1,0,1,1
155,3,1.0,4.784724956722467,0,0,1,1,0,0.8181818181818182,0.18181818181818182,11,3,3.5555555555555554,3.6666666666666665,{'the': 2},0,0,11,3,0,0,0,0,Neutral,1,0,1,0
80,0,1.0,4.38334601636225,3,0,0,0,2,1.0,0.0,8,1,5.714285714285714,8.0,{'by': 2},0,0,5,4,0,0,0,0,Positive,1,0,1,0
153,0,1.0,4.753823331697482,0,0,0,0,4,0.8571428571428571,0.14285714285714285,14,1,4.454545454545454,14.0,"{'to': 3, 'i': 2, '&': 2}",0,0,24,7,0,0,0,0,Positive,1,0,3,2
154,0,1.0,4.4717073857732395,0,0,0,0,0,1.0,0.0,8,2,3.4285714285714284,4.0,{},0,0,7,2,0,0,0,0,Positive,1,0,0,4
63,1,1.0,4.174430157780221,0,0,0,0,0,1.0,0.0,9,1,4.222222222222222,9.0,{},0,0,3,2,0,0,0,0,Positive,2,1,2,0
155,0,1.0,4.688289128745209,0,1,0,0,0,0.3,0.7,10,4,1.5555555555555556,2.5,"{'|': 6, 'of': 2, '&': 2}",0,0,19,7,0,0,0,0,Positive,0,1,0,0
90,13,1.0,4.770632369434287,0,0,0,0,2,1.0,0.0,6,4,5.0,1.5,{},0,0,8,0,0,0,0,0,Neutral,0,1,1,0
123,0,1.0526315789473684,4.459445196411831,0,0,0,0,0,0.8333333333333334,0.16666666666666666,12,6,4.9,2.0,"{'i': 2, 'got': 2}",0,0,8,3,0,0,0,0,Positive,1,1,3,4
54,0,1.0,4.069818641798822,0,0,0,0,1,1.0,0.0,4,1,7.333333333333333,4.0,{},0,0,3,1,0,0,0,0,Neutral,0,0,0,0
27,0,1.0,3.4578671314725846,0,0,0,0,0,1.0,0.0,4,0,5.0,0.0,{'and': 2},0,0,0,3,0,0,0,0,Negative,0,0,0,0
14,0,1.0,3.3787834934861767,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,{},0,0,0,1,0,0,0,0,Negative,0,0,0,0
124,0,1.0,4.197374331914785,0,0,0,0,0,0.16666666666666666,0.8333333333333334,6,0,3.0,0.0,"{'certified': 3, 'nurse': 2}",0,0,2,0,0,0,0,0,Positive,0,0,0,0
34,0,1.0,4.091159812399539,0,0,0,0,0,0.0,1.0,1,0,4.0,0.0,{},0,0,1,0,0,0,0,0,Neutral,0,0,0,0
62,0,1.0,3.958994886245669,0,0,0,0,0,1.0,0.0,10,2,4.2,5.0,{},0,0,3,4,0,0,0,0,Negative,1,1,2,1
10,0,1.0,2.9219280948873623,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,{},0,0,0,0,0,0,0,0,Neutral,0,0,0,0
158,1,1.0,4.610460558549604,0,0,0,0,2,0.9473684210526315,0.05263157894736842,19,4,5.2631578947368425,4.75,{'&': 2},0,0,10,6,0,0,0,0,Positive,1,1,7,3
122,0,1.0,4.415981285595476,0,0,0,0,0,0.8888888888888888,0.1111111111111111,18,4,4.647058823529412,4.5,{'and': 2},0,0,6,5,0,0,0,0,Negative,1,1,2,5
159,3,1.0,4.680491704056806,0,0,1,1,1,0.8823529411764706,0.11764705882352941,17,2,4.533333333333333,8.5,"{'of': 2, 'tour': 2, 'content': 2}",0,0,9,8,0,0,0,0,Neutral,1,0,0,0
30,0,1.0,4.072905595320056,0,0,0,0,0,1.0,0.0,3,1,4.0,3.0,{},0,0,5,1,0,0,0,0,Neutral,0,1,0,1
105,6,1.0,4.684631886412493,0,0,0,0,2,0.8333333333333334,0.16666666666666666,6,1,5.666666666666667,6.0,{'champion': 2},0,0,6,4,0,0,0,0,Positive,0,1,0,0
21,0,1.0,3.4399364703978077,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,{},0,0,1,1,0,0,0,0,Neutral,0,0,0,0
37,0,1.0,3.817995434402896,0,0,0,0,0,1.0,0.0,5,1,5.5,5.0,{'than': 2},0,0,2,0,0,0,0,0,Neutral,2,0,0,2
50,0,1.0,3.930881379939832,0,0,0,0,0,1.0,0.0,4,0,4.25,0.0,{},0,0,2,2,0,0,0,0,Neutral,0,2,0,1
68,0,1.2,4.085419231141256,0,0,0,0,0,1.0,0.0,12,1,4.25,12.0,"{'you': 3, 'is': 2, 'who': 2}",0,0,4,2,0,0,0,0,Positive,0,0,1,5
95,8,1.0,4.462380972891659,0,0,0,0,0,0.875,0.125,8,0,8.375,0.0,{},0,0,4,6,0,0,0,0,Neutral,1,0,0,0
41,0,1.0,4.0251327245427015,0,0,0,0,0,1.0,0.0,3,0,6.0,0.0,{},0,0,3,2,0,0,0,0,Positive,0,0,1,0
146,0,1.0,4.813529036140751,0,0,0,0,0,0.75,0.25,16,5,5.133333333333334,3.2,"{'by': 2, 'no': 2}",0,0,10,7,0,0,0,0,Negative,3,0,2,0
161,1,1.0,4.699148551147957,0,1,1,1,0,1.0,0.0,10,2,4.3,5.0,{},0,0,9,6,0,0,0,0,Positive,2,0,2,1
122,3,1.0,4.695035756498214,0,1,0,0,0,0.42857142857142855,0.5714285714285714,7,0,3.4285714285714284,0.0,{},0,0,13,1,0,0,0,0,Positive,1,0,0,0
19,0,1.0,3.616348566075163,0,0,0,0,0,0.8,0.2,5,0,2.8,0.0,{},0,0,1,1,0,0,0,0,Neutral,0,0,0,1
36,0,1.0,3.9857808213564594,0,0,0,0,0,1.0,0.0,5,1,5.5,5.0,{'by': 2},0,0,2,2,0,0,0,0,Negative,1,0,0,0
25,0,1.0,3.9238561897747237,0,0,0,0,0,1.0,0.0,4,0,4.0,0.0,{},0,0,2,2,0,0,0,0,Positive,0,1,0,0
67,0,1.0,4.277608812609599,0,0,0,0,0,1.0,0.0,8,0,4.375,0.0,{},0,0,5,2,0,0,0,0,Positive,0,0,3,2
20,0,1.0,3.684183719779189,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,{},0,0,0,1,0,0,0,0,Positive,0,0,0,0
24,0,1.0,3.355388542207534,0,0,0,0,0,1.0,0.0,2,0,4.5,0.0,{},0,0,0,1,0,0,0,0,Positive,0,0,1,1
82,5,1.0714285714285714,4.449498038831802,0,0,0,0,0,1.0,0.0,7,2,3.2,3.5,"{'of': 2, 'the': 2}",0,0,6,1,0,0,0,0,Positive,1,0,0,0
79,0,1.0,4.203735382603994,0,0,0,0,0,1.0,0.0,1,0,3.0,0.0,{'politics': 2},0,0,0,0,0,0,0,0,Neutral,0,0,0,0
165,3,1.0769230769230769,4.870285139247377,0,0,2,2,1,1.0,0.0,20,2,3.7333333333333334,10.0,"{'to': 3, 'us': 2, 'you': 2}",0,0,14,3,0,0,0,0,Positive,0,0,4,5
90,0,1.0,4.3455480655321805,0,0,0,0,0,0.9,0.1,10,1,3.6,10.0,{},0,0,6,3,0,0,0,0,Positive,1,0,2,1
151,2,1.0,4.772251601175205,0,0,0,0,0,0.9523809523809523,0.047619047619047616,21,1,3.8095238095238093,21.0,{},0,0,21,6,0,0,0,0,Positive,3,1,3,3
89,0,1.0,4.397655167619295,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,"{'|': 3, '---': 2}",0,0,11,3,0,0,0,0,Positive,0,0,0,0
26,0,1.0,3.8441065448145375,0,0,0,0,0,1.0,0.0,3,1,5.666666666666667,3.0,{},0,0,4,0,0,0,0,0,Neutral,0,0,1,2
44,0,1.0,4.070353994119939,0,0,0,0,0,1.0,0.0,4,2,4.5,2.0,{},0,0,2,2,0,0,0,0,Positive,1,1,0,0
146,0,1.0,4.428345426149982,0,0,0,0,0,1.0,0.0,13,1,5.769230769230769,13.0,{},0,0,4,6,0,0,0,0,Positive,3,0,1,0
87,2,1.0,4.542273996581013,0,0,0,0,0,1.0,0.0,4,1,2.75,4.0,{'•': 2},0,0,10,4,0,0,0,0,Neutral,2,0,1,1
52,0,1.0,4.596899756886205,0,0,0,0,0,0.25,0.75,4,2,5.25,2.0,{},0,0,3,0,0,0,0,0,Neutral,0,0,0,0
157,0,1.0,4.4863430445327666,0,1,0,0,2,1.0,0.0,14,0,7.714285714285714,0.0,{'|': 3},0,0,10,7,0,0,0,0,Neutral,3,0,3,0
39,0,1.0,3.9897785005806887,0,0,0,0,0,0.8333333333333334,0.16666666666666666,6,1,5.166666666666667,6.0,{},0,0,2,3,0,0,0,0,Neutral,0,0,1,1
90,0,1.0,4.443469276557814,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,"{'•': 3, 'amazon': 2}",0,0,7,4,0,0,0,0,Positive,2,1,1,1
134,0,1.0,4.377282200018347,1,1,0,0,0,0.8571428571428571,0.14285714285714285,21,1,4.761904761904762,21.0,{},0,0,5,7,0,0,0,0,Positive,0,2,3,1
20,0,1.0,3.2841837197791888,0,0,0,0,0,1.0,0.0,3,1,5.666666666666667,3.0,{},0,1,1,1,0,0,0,0,Neutral,0,0,1,0
104,0,1.0,4.567711656504885,0,0,0,0,1,0.6,0.4,5,0,5.6,0.0,{},0,0,4,3,0,0,0,0,Positive,1,0,0,0
126,0,1.0,4.413889004480004,0,1,0,0,0,1.0,0.0,4,0,9.0,0.0,{},0,0,4,4,0,0,0,0,Positive,1,0,1,0
52,2,1.0,4.615701795899426,0,0,1,1,0,1.0,0.0,7,3,3.0,2.3333333333333335,{},1,1,8,1,0,0,0,0,Positive,0,2,2,1
64,0,1.0,3.8092386605713844,0,0,0,0,0,0.9166666666666666,0.08333333333333333,12,0,4.363636363636363,0.0,"{'i': 2, 'am': 2}",0,0,3,3,0,0,0,0,Positive,2,1,0,2
108,3,1.3333333333333333,5.277460247626616,0,1,3,3,0,1.0,0.0,9,3,2.3333333333333335,3.0,{},0,0,19,6,0,0,0,0,Neutral,0,0,0,0
147,4,1.0,4.728838436414327,0,0,0,0,2,1.0,0.0,5,0,8.6,0.0,{'🐈': 2},0,0,12,4,0,0,0,0,Neutral,3,0,0,0
14,0,1.0,3.378783493486176,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,{},0,0,0,0,0,0,0,0,Neutral,0,0,0,0
128,0,1.0416666666666667,4.158155062250497,0,0,0,0,0,0.96,0.04,25,2,4.090909090909091,12.5,"{'the': 2, 'then': 2}",0,0,6,6,0,0,0,0,Positive,0,3,3,1
104,0,1.0,4.623483474387387,0,0,0,0,0,0.8,0.2,5,4,2.3333333333333335,1.25,"{'of': 2, 'and': 2}",0,0,6,2,0,0,0,0,Negative,0,0,0,0
159,0,1.0,4.521447115716246,0,0,0,0,2,1.0,0.0,16,3,4.533333333333333,5.333333333333333,{'you': 2},1,1,7,5,0,0,0,0,Negative,2,0,3,3
160,0,1.0,4.449851978577312,0,0,0,0,0,0.8333333333333334,0.16666666666666666,6,0,4.833333333333333,0.0,{},0,0,1,1,0,0,0,0,Positive,0,1,1,0
144,0,1.0869565217391304,4.4238871380745985,1,0,0,0,0,0.8421052631578947,0.15789473684210525,19,2,3.8666666666666667,9.5,"{'am': 2, 'a': 2, 'and': 2, 'heavyweight': 2}",0,0,3,2,0,0,0,0,Positive,4,0,1,4
102,1,1.0,4.560756015517592,0,0,0,0,5,1.0,0.0,1,0,1.0,0.0,{},0,0,9,1,0,0,0,0,Neutral,0,0,0,0
25,0,1.0,3.7794705707972507,0,0,0,0,0,1.0,0.0,2,0,5.5,0.0,{'new': 2},0,0,3,1,0,0,0,0,Neutral,1,0,2,0
152,2,1.0,4.415485114490348,0,1,0,0,0,0.8888888888888888,0.1111111111111111,18,0,4.944444444444445,0.0,{'•': 9},0,0,19,11,0,0,0,0,Positive,2,0,4,1
116,0,1.0,4.410334379786242,0,0,0,0,0,1.0,0.0,11,1,5.363636363636363,11.0,{},0,0,7,5,0,0,0,0,Neutral,4,0,1,2
34,0,1.0,3.654255313215028,0,0,0,0,0,1.0,0.0,6,1,3.8333333333333335,6.0,{},0,0,2,1,0,0,0,0,Positive,2,1,1,0
152,2,1.0,4.696574631614133,0,0,0,0,2,0.9,0.1,10,7,5.6,1.4285714285714286,{},0,0,14,3,0,0,0,0,Positive,0,1,2,2
143,0,1.0434782608695652,4.462915102181244,0,0,0,0,0,0.4,0.6,5,2,1.0,2.5,{},0,0,10,1,0,0,0,0,Neutral,1,1,2,3
149,4,1.0,4.681736854741634,0,1,0,0,0,0.6666666666666666,0.3333333333333333,3,3,4.0,1.0,{'former': 2},0,0,7,2,0,0,0,0,Negative,2,0,1,0
96,0,1.0,4.176725821124161,0,0,0,0,0,1.0,0.0,16,2,3.8666666666666667,8.0,{'a': 2},0,0,2,5,0,0,0,0,Positive,0,2,3,0
57,3,1.0,4.6961533910161215,0,0,1,1,0,1.0,0.0,5,2,2.6,2.5,{},0,0,7,1,0,0,0,0,Positive,0,0,1,1
